,Date,Open,High,Low,Close,Adj.Close,Volume,mean_5_before,percent_before,mean_5_after,percent_after
172,9/20/2020,0.002794,0.002806,0.002722,0.002778,0.002778,145951917,-1.20E-05,-1.6985138,-3.35E-05,-4.823614111
173,9/21/2020,0.002778,0.002802,0.002616,0.00263,0.00263,78753428,-4.60E-05,-6.538734897,1.90E-05,2.88973384
174,9/22/2020,0.002625,0.002672,0.002604,0.002656,0.002656,36467574,-3.70E-05,-5.278174037,1.30E-05,1.957831325
175,9/23/2020,0.002656,0.002675,0.002559,0.002564,0.002564,29993627,-5.75E-05,-8.231925555,3.43E-05,5.343213729
176,9/24/2020,0.002564,0.00266,0.002558,0.002644,0.002644,30967522,-3.35E-05,-4.823614111,3.50E-06,0.529500756
177,9/25/2020,0.002644,0.002719,0.002629,0.002706,0.002706,39515148,1.90E-05,2.88973384,-6.25E-06,-0.923872875
178,9/26/2020,0.002708,0.002749,0.002691,0.002708,0.002708,36770554,1.30E-05,1.957831325,-1.65E-05,-2.437223043
179,9/27/2020,0.002708,0.002733,0.002683,0.002701,0.002701,24673035,3.43E-05,5.343213729,-2.15E-05,-3.184005924
180,9/28/2020,0.002701,0.002739,0.002651,0.002658,0.002658,35610656,3.50E-06,0.529500756,-1.85E-05,-2.784048157
181,9/29/2020,0.002658,0.00271,0.002646,0.002681,0.002681,36596920,-6.25E-06,-0.923872875,-1.90E-05,-2.834763148
182,9/30/2020,0.00268,0.002688,0.002632,0.002642,0.002642,32195544,-1.65E-05,-2.437223043,1.00E-06,0.151400454
183,10/1/2020,0.002644,0.002678,0.002599,0.002615,0.002615,35974208,-2.15E-05,-3.184005924,3.00E-06,0.458891013
184,10/2/2020,0.002614,0.002614,0.002544,0.002584,0.002584,46978131,-1.85E-05,-2.784048157,6.50E-06,1.00619195
185,10/3/2020,0.002585,0.002636,0.002578,0.002605,0.002605,28617216,-1.90E-05,-2.834763148,-1.25E-06,-0.19193858
186,10/4/2020,0.002605,0.002672,0.002602,0.002646,0.002646,31175662,1.00E-06,0.151400454,-1.08E-05,-1.625094482
187,10/5/2020,0.002646,0.00266,0.002616,0.002627,0.002627,28690532,3.00E-06,0.458891013,-6.00E-06,-0.913589646
188,10/6/2020,0.002625,0.002637,0.00259,0.00261,0.00261,31952344,6.50E-06,1.00619195,1.13E-05,1.724137931
189,10/7/2020,0.00261,0.002613,0.002586,0.0026,0.0026,43259079,-1.25E-06,-0.19193858,1.85E-05,2.846153846
190,10/8/2020,0.002598,0.002633,0.002573,0.002603,0.002603,43957899,-1.08E-05,-1.625094482,1.78E-05,2.727621975
191,10/9/2020,null,null,null,null,null,null,-6.00E-06,-0.913589646,1.78E-05,2.727621975
192,10/10/2020,0.002654,0.002716,0.002654,0.002655,0.002655,96632426,1.13E-05,1.724137931,-4.50E-06,-0.677966102
193,10/11/2020,0.002667,0.002706,0.002649,0.002674,0.002674,107632465,1.85E-05,2.846153846,-2.03E-05,-3.029169783
194,10/12/2020,null,null,null,null,null,null,1.78E-05,2.727621975,-1.55E-05,-2.318623785
195,10/13/2020,null,null,null,null,null,null,1.78E-05,2.727621975,-2.33E-05,-3.477935677
196,10/14/2020,0.002634,0.002653,0.002618,0.002637,0.002637,87293434,-4.50E-06,-0.677966102,-1.28E-05,-1.934015927
197,10/15/2020,0.00265,0.002651,0.002569,0.002593,0.002593,83794207,-2.03E-05,-3.029169783,-7.50E-07,-0.115696105
198,10/16/2020,0.002595,0.002616,0.002557,0.002612,0.002612,117882236,-1.55E-05,-2.318623785,-2.75E-06,-0.421133231
199,10/17/2020,0.002603,0.002612,0.002573,0.002581,0.002581,125692391,-2.33E-05,-3.477935677,1.23E-05,1.898488958
200,10/18/2020,0.002581,0.002601,0.002577,0.002586,0.002586,72298803,-1.28E-05,-1.934015927,1.72E-05,2.668213457
201,10/19/2020,0.002595,0.002619,0.002572,0.00259,0.00259,91049562,-7.50E-07,-0.115696105,1.43E-05,2.200772201
202,10/20/2020,0.00259,0.002623,0.002581,0.002601,0.002601,65577101,-2.75E-06,-0.421133231,1.13E-05,1.730103806
203,10/21/2020,0.0026,0.002657,0.002594,0.00263,0.00263,45017115,1.23E-05,1.898488958,5.75E-06,0.874524715
204,10/22/2020,0.002627,0.002689,0.002624,0.002655,0.002655,44976453,1.72E-05,2.668213457,6.00E-06,0.903954802
205,10/23/2020,0.002649,0.002691,0.002637,0.002647,0.002647,46856082,1.43E-05,2.200772201,7.50E-06,1.133358519
206,10/24/2020,0.002647,0.002653,0.002624,0.002646,0.002646,44797614,1.13E-05,1.730103806,-1.28E-05,-1.927437642
207,10/25/2020,0.002645,0.002676,0.002624,0.002653,0.002653,58532388,5.75E-06,0.874524715,-1.80E-05,-2.713908783
208,10/26/2020,0.002653,0.002893,0.002636,0.002679,0.002679,122152251,6.00E-06,0.903954802,-2.03E-05,-3.023516237
209,10/27/2020,0.002679,0.002708,0.00263,0.002677,0.002677,78927089,7.50E-06,1.133358519,-2.53E-05,-3.77288009
210,10/28/2020,0.002677,0.002697,0.002575,0.002595,0.002595,72848720,-1.28E-05,-1.927437642,-3.25E-06,-0.500963391
211,10/29/2020,0.002595,0.002623,0.002518,0.002581,0.002581,58929515,-1.80E-05,-2.713908783,-1.60E-05,-2.479659047
212,10/30/2020,0.002581,0.002607,0.002533,0.002598,0.002598,63444097,-2.03E-05,-3.023516237,-1.75E-05,-2.694380293
213,10/31/2020,0.002598,0.002603,0.002556,0.002576,0.002576,56189318,-2.53E-05,-3.77288009,-1.08E-05,-1.669254658
214,11/1/2020,0.002576,0.00259,0.002561,0.002582,0.002582,45528682,-3.25E-06,-0.500963391,8.75E-06,1.355538342
